Date,Time,1RSS(dB),2RSS(dB),RQly(%),RSNR(dB),ANT,RFMD,TPWR(mW),TRSS(dB),TQly(%),TSNR(dB),RxBt(V),Curr(A),Capa(mAh),Bat(%),Alt(m),VSpd(m/s),Rud,Ele,Thr,Ail,P1,P2,SA,SB,SC,SD,SE,SF,SG,SH,LSW,CH1(us),CH2(us),CH3(us),CH4(us),CH5(us),CH6(us),CH7(us),CH8(us),CH9(us),CH10(us),CH11(us),CH12(us),CH13(us),CH14(us),CH15(us),CH16(us),CH17(us),CH18(us),CH19(us),CH20(us),CH21(us),CH22(us),CH23(us),CH24(us),CH25(us),CH26(us),CH27(us),CH28(us),CH29(us),CH30(us),CH31(us),CH32(us),TxBat(V)
2025-04-27,15:28:47.330,-21,-26,100,10,0,8,50,-28,100,11,8.4,0.0,0,0,1.1,0.1,-6,-2,-14,-6,-1024,250,-1,0,1,-1,-1,1,-1,-1,0x000000000000000C,1493,1495,1493,1497,2012,1486,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.8
2025-04-27,15:28:47.830,-21,-26,100,10,0,8,50,-28,100,10,8.4,0.0,0,0,1.1,0.1,-120,0,34,-5,-1024,249,-1,0,1,-1,-1,1,-1,-1,0x000000000000000C,1493,1496,1517,1440,2012,1486,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.8
2025-04-27,15:28:48.330,-30,-27,100,10,1,8,50,-23,100,9,8.5,0.0,0,0,1.1,0.1,-160,-2,35,-4,-1024,250,-1,0,1,-1,-1,1,-1,-1,0x000000000000000C,1493,1496,1517,1420,2012,1485,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.8
2025-04-27,15:28:48.830,-30,-30,100,10,0,8,50,-32,100,12,8.5,0.0,0,0,1.6,-0.1,-46,-1,192,-5,-1024,250,-1,0,1,-1,-1,1,-1,-1,0x000000000000000C,1493,1500,1596,1477,2012,1486,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.8
2025-04-27,15:28:49.330,-36,-35,100,10,1,8,50,-34,100,10,8.5,0.0,0,0,1.6,-0.1,-259,-3,275,-5,-1024,250,-1,0,1,-1,-1,1,-1,-1,0x000000000000000C,1493,1501,1637,1370,2012,1486,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.8
2025-04-27,15:28:49.830,-36,-35,100,10,1,8,50,-32,100,9,8.5,0.0,0,0,1.6,-0.1,-318,-35,304,4,-1024,250,-1,0,1,-1,-1,1,-1,-1,0x000000000000000C,1492,1497,1652,1342,2012,1483,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.8
2025-04-27,15:28:50.330,-29,-34,100,10,0,8,50,-38,100,11,8.5,0.0,0,0,1.6,-0.1,-318,-7,463,-4,-1024,250,-1,0,1,-1,-1,1,-1,-1,0x000000000000000C,1493,1505,1731,1341,2012,1485,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.8
2025-04-27,15:28:50.830,-29,-34,100,10,0,8,50,-36,100,11,8.5,0.0,0,0,2.7,1.3,-464,-6,671,-6,-1024,249,-1,0,1,-1,-1,1,-1,-1,0x000000000000000C,1493,1511,1835,1268,2012,1486,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.8
2025-04-27,15:28:51.330,-32,-34,100,10,0,8,50,-43,100,10,8.4,0.0,0,0,2.7,1.3,-7,-8,618,-4,-1024,250,-1,0,1,-1,-1,1,-1,-1,0x000000000000000C,1493,1509,1809,1496,2012,1485,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.8
2025-04-27,15:28:51.830,-35,-36,100,10,0,8,50,-39,100,10,8.4,0.0,0,0,2.7,1.3,-36,-3,818,-5,-1024,250,-1,0,1,-1,-1,1,-1,-1,0x000000000000000C,1493,1515,1909,1482,2012,1486,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.8
